نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, امارة منطقة الرياض, الرياض ,غربية,600,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3000000
أرض,تجاري وسكني, الرياض , حي السعادة ,شمالية,2100,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5250000
أرض,تجاري وسكني, الرياض , حي المهدية ,شرقية,450,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1170000
أرض,سكني, حريملاء, ملهم ,جنوبية شرقية,10000,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10000000
أرض,سكني, الرياض , حي غرناطة ,شمالية,800,4800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3840000
أرض,سكني, الرياض , حي المهدية ,ثلاث شوارع,450,3150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1417500
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,414,724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299736
أرض,سكني, حريملاء, الرياض ,شمالية,630,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3780000
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية,359,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1650000
فيلا,سكني, الرياض , حي الجنادرية ,شمالية,360,-,4,2,4,-,1,1,1,1,0,0,0,0,1,0,1500000
أرض,سكني, الرياض , حي اليرموك ,غربية,300,3800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1140000
أرض,تجاري, الرياض , حي عكاظ ,شمالية,900,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3600000
أرض,سكني, الرياض , ضاحية نمار ,شمالية,750,2700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025000
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3539250
أرض,تجاري وسكني, الرياض , حي المعيزلة ,جنوبية,550,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1375000
أرض,تجاري وسكني, الرياض , حي النسيم الغربي ,جنوبية,747,6500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4855500
أرض,سكني, الرياض , حي الصناعية القديمة ,جنوبية شرقية,1849,850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1571650
فيلا,سكني, الرياض , حي الحمراء ,شمالية,465,-,6,2,5+,20,0,1,1,1,1,1,0,0,1,0,3500000
فيلا,سكني, الرياض , حي الرمال ,جنوبية,300,-,5,3,5+,-,1,1,1,0,1,0,0,0,1,0,1700000
أرض,تجاري, الرياض , حي النرجس ,شمالية,916,3820,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3499120
فيلا,سكني, الرياض , حي الروضة ,جنوبية,277,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1600000
أرض,تجاري وسكني, الرياض , حي العوالي ,شمالية,900,3150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2835000
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,200,-,5,3,5+,20,1,1,1,0,0,0,0,0,1,0,1600000
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية,312,-,7+,3,5+,-,1,1,1,0,0,1,0,0,1,1,1000230
أرض,سكني, الرياض , حي البيان ,أربع شوارع,510,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459000
فيلا,سكني, الرياض , حي ظهرة لبن ,شمالية,274,-,5,2,5+,-,1,0,0,0,0,0,0,0,0,0,1100000
أرض,سكني, الرياض , حي قرطبة ,شرقية,1250,6500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8125000
أرض,تجاري, الرياض , حي القادسية ,شمالية,1246,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2492000
أرض,سكني, حريملاء, الرياض ,ثلاث شوارع,9569,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9569000
أرض,سكني, الرياض , حي اليرموك ,ثلاث شوارع,750,3100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2325000
فيلا,سكني, الرياض , حي قرطبة ,شرقية,375,-,7+,2,5+,20,1,1,1,0,0,0,0,0,0,0,4000000
أرض,سكني, الرياض , حي الرمال ,غربية,457,2400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1096800
فيلا,سكني, الرياض , حي السعادة ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2200000
أرض,سكني, الرياض , حي ظهرة لبن ,غربية,900,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1800000
أرض,تجاري, الرياض , حي جرير ,جنوبية,312,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,998400
فيلا,سكني, الرياض , حي الصحافة ,شمالية,375,-,6,2,5+,15,1,1,1,1,1,1,0,0,1,1,4880000
فيلا,سكني, الرياض , حي الرمال ,شمالية,281,-,7+,1,5+,-,0,0,0,0,0,0,0,0,0,0,1400000
أرض,تجاري وسكني, الرياض , حي ظهرة نمار ,جنوبية,862,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3879000
فيلا,سكني, الرياض , حي المونسية ,غربية,300,-,4,2,4,-,1,1,1,0,1,1,0,0,1,1,2300000
أرض,تجاري, الرياض , حي الندوة ,شمالية,375,3500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1312500
فيلا,سكني, الرياض , حي القيروان ,شمالية,360,-,5,3,5+,20,1,1,1,1,1,1,0,0,1,1,4300000
فيلا,سكني, الرياض , حي المونسية ,غربية,300,-,4,2,4,-,1,1,0,0,1,1,0,0,1,1,2300000
فيلا,سكني, الرياض , حي الجنادرية ,غربية,312,-,7+,3,5+,-,0,0,0,0,0,1,0,0,1,0,1450000
أرض,تجاري وسكني, الرياض , حي النظيم ,شمالية,833,1441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1200353
أرض,سكني, الرياض , حي الخير ,غربية,375,1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600000
فيلا,سكني, الرياض , حي الاندلس ,جنوبية غربية,570,-,5,2,5+,15,1,1,1,1,1,1,0,0,1,0,2200000
أرض,سكني, حريملاء, الرياض ,شمالية غربية,1627,1450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2359150
فيلا,سكني, الرياض , حي الريان ,جنوبية,390,-,5,2,5+,15,1,0,1,0,1,1,0,0,1,0,3000000
فيلا,سكني, حي قرطبة , شارع جبل مره ,جنوبية,450,-,7+,3,5+,-,0,1,1,1,0,1,0,0,1,0,2600000
أرض,سكني, حريملاء, الرياض ,جنوبية,400,1134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,453600
أرض,سكني, الرياض , حي ظهرة لبن ,جنوبية,2100,523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1098300
أرض,سكني, الرياض , حي النرجس ,شرقية,375,1358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,509250
فيلا,سكني, الرياض, الرياض ,شمالية,345,-,6,3,5+,20,1,1,1,1,1,1,0,0,1,1,2500000
فيلا,سكني, الرياض , حي النسيم الشرقي ,شمالية,483,-,7+,2,5+,-,0,1,1,1,1,1,0,0,1,0,1700000
فيلا,سكني, الرياض , حي المونسية ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2450000
فيلا,سكني, الرياض , حي العارض ,جنوبية,350,-,3,2,5+,-,1,0,1,0,1,0,0,1,1,1,2600000
أرض,سكني, الرياض , حي الدار البيضاء ,شرقية,650,1538,-,-,-,-,-,-,-,-,-,-,-,-,-,-,999700
فيلا,سكني, الرياض , حي الزهرة ,شمالية,625,-,7+,3,5+,20,1,1,1,1,1,1,0,0,1,1,1700000
أرض,سكني, الرياض , حي الضباط ,شمالية,450,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1350000
فيلا,سكني, امارة منطقة الرياض, الرياض ,غربية,224,-,5,2,5+,-,0,1,1,0,1,1,0,0,1,0,1050000
فيلا,سكني, الرياض , حي قرطبة ,شمالية,350,-,7+,3,5+,15,0,1,1,1,1,1,0,0,1,0,3500000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,750,467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350250
أرض,تجاري وسكني, الرياض , حي الزهراء ,شمالية,400,7500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3000000
فيلا,سكني, الرياض , حي النهضة ,شمالية,495,-,7+,5,5+,-,1,1,0,0,0,1,0,0,0,0,2200000
أرض,سكني, امارة منطقة الرياض, حي عكاظ ,شمالية شرقية,600,1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,720000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,900,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,15233,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5331550
فيلا,سكني, الرياض , حي القدس ,غربية,900,-,7+,3,5+,15,1,1,0,1,1,0,0,0,1,0,4500000
أرض,سكني, حريملاء, حي الخير ,شمالية,750,1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,960000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شمالية,900,713,-,-,-,-,-,-,-,-,-,-,-,-,-,-,641700
أرض,سكني, الرياض , حي ضاحية نمار ,شرقية,375,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3750000
أرض,تجاري, حريملاء, الرياض ,غربية,750,3800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2850000
أرض,سكني, الرياض , حي شبرا ,جنوبية,276,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276000
فيلا,سكني, الرياض , حي المعيزلة ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1600000
أرض,سكني, الرياض , حي النسيم الغربي ,جنوبية,875,1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1662500
أرض,سكني, الرياض , حي العزيزية ,جنوبية,437,1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,524400
أرض,سكني, حريملاء, الرياض ,جنوبية,300,4400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320000
أرض,سكني, الرياض , حي الخليج ,غربية,750,3500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2625000
أرض,سكني, الرياض , حي عريض ,جنوبية غربية,400,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320000
فيلا,سكني, الرياض , حي المونسية ,غربية,300,-,5,3,5+,-,1,1,1,0,1,1,0,0,1,0,2300000
أرض,سكني, الرياض , حي النرجس ,جنوبية غربية,10000,5850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58500000
أرض,سكني, الرياض , حي النرجس ,شرقية,520,5300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2756000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,750,3333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2499750
فيلا,سكني, الرياض , حي ظهرة البديعة ,غربية,250,-,7+,2,5+,-,0,0,1,0,1,1,0,0,1,0,1250000
أرض,سكني, الرياض , حي قرطبة ,شمالية,1375,4900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6737500
أرض,سكني, الرياض , حي النرجس ,شمالية,450,2555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1149750
فيلا,سكني, الرياض , حي الجزيرة ,شمالية,484,-,5,1,5+,20,0,1,1,1,1,1,0,0,0,0,2250000
أرض,تجاري وسكني, الرياض , حي الخليج ,شمالية شرقية,648,444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287712
فيلا,سكني, الرياض , حي الدار البيضاء ,شرقية,360,-,5,2,3,15,0,1,0,0,1,1,0,0,1,0,1400000
أرض,تجاري وسكني, رماح, الرياض ,شمالية,500,4300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2150000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية,934,963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,899442
أرض,تجاري وسكني, الرياض , حي الشهداء ,غربية,763,315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240345
فيلا,سكني, الرياض , حي البيان ,شمالية,363,-,5,2,4,-,1,1,0,0,1,1,0,0,1,0,1600000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,420,714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299880
فيلا,سكني, الرياض , حي بدر ,شرقية,480,-,7+,2,5+,-,0,1,0,0,1,1,0,0,1,0,750000
فيلا,سكني, الرياض , حي الرمال ,شرقية,375,-,5,3,5+,-,1,1,1,1,1,1,0,0,1,0,2100000
فيلا,سكني, الرياض , حي المونسية ,شرقية,250,-,4,1,4,-,1,1,1,1,1,1,0,0,1,1,1800000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,غربية,450,4875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2193750
أرض,سكني, الرياض , حي بنبان ,شمالية,503,1230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,618690
فيلا,سكني, الرياض , حي الدار البيضاء ,جنوبية شرقية,312,-,5,3,5+,-,0,1,1,1,1,1,0,0,1,0,1150000
أرض,سكني, حي عريض , طريق النفود ,شمالية,382,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1719000
أرض,سكني, الرياض , حي حطين ,شمالية,2000,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,390,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390000
أرض,سكني, الرياض , حي العوالي ,شمالية,500,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000000
أرض,سكني, الرياض , حي الملز ,ثلاث شوارع,1148,920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1056160
أرض,سكني, حريملاء, الرياض ,شمالية,500,1700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,850000
أرض,سكني, حريملاء, الرياض ,جنوبية,800,1375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1100000
أرض,سكني, الرياض , حي الشرق ,جنوبية,312,2350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,733200
أرض,سكني, حريملاء, الرياض ,شرقية,360,1375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495000
أرض,سكني, حريملاء, الرياض ,أربع شوارع,39192,620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24299040
أرض,سكني, الرياض , حي المهدية ,شرقية,524,1450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,759800
فيلا,سكني, الرياض , حي احد ,جنوبية,25,-,4,1,4,-,1,1,0,0,0,0,0,0,0,0,880000
أرض,سكني, الرياض , حي المهدية ,شمالية,450,2225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001250
فيلا,سكني, الرياض , حي الحزم ,شرقية,200,-,5,3,5+,30,1,1,1,0,1,1,0,0,1,0,1080000
أرض,سكني, الرياض , حي عريض ,شمالية,400,690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276000
أرض,سكني, الرياض , حي العارض ,شرقية,900,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3600000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,750,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4500000
أرض,تجاري, الرياض , حي ظهرة لبن ,شمالية,930,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2325000
أرض,تجاري, الرياض , حي الرمال ,جنوبية,412,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1318400
أرض,سكني, الرياض , حي المهدية ,جنوبية,4772,550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2624600
فيلا,سكني, الرياض , حي الريان ,جنوبية,360,-,7+,2,5+,15,1,1,1,1,1,0,1,0,1,0,4400000
أرض,سكني, الرياض , حي الملز ,غربية,900,611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,549900
أرض,سكني, الرياض , حي النظيم ,شمالية شرقية,918,708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649944
أرض,سكني, الرياض , ضاحية نمار ,شمالية,990,909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,899910
فيلا,سكني, الرياض , حي الحزم ,شرقية,240,-,5,2,5+,20,1,1,1,0,1,1,0,0,1,0,900000
أرض,تجاري, حريملاء, الرياض ,شمالية,375,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1200000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية,750,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1950000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شرقية,360,-,4,4,5+,-,1,1,1,1,1,0,0,0,0,0,2000000
أرض,سكني, الرياض , حي النرجس ,شمالية,300,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية شرقية,2327,859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1998893
فيلا,سكني, الرياض , حي الرمال ,شرقية,375,-,4,2,5+,15,1,1,0,0,1,1,0,0,1,0,2450000
فيلا,سكني, الرياض , حي الفاروق ,جنوبية,756,-,4,1,4,16,1,1,0,0,0,0,0,0,0,0,3300000
أرض,تجاري وسكني, الرياض , حي المونسية ,شمالية,875,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3500000
أرض,تجاري وسكني, الرياض , حي عريض ,شمالية,2205,1150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2535750
فيلا,سكني, الرياض , حي مطار الملك خالد الدولي ,شرقية,330,-,3,1,3,21,1,1,0,0,0,0,0,0,0,0,1650000
فيلا,سكني, الرياض , حي المونسية ,شرقية,308,-,5,3,4,-,1,0,1,0,1,1,0,0,1,1,2650000
أرض,سكني, الرياض , حي القيروان ,غربية,559,5800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3242200
فيلا,سكني, الرياض , حي الربوة ,ثلاث شوارع,868,-,7+,2,5+,12,1,1,1,1,1,1,0,0,1,0,4000000
أرض,تجاري, الرياض , حي النسيم الغربي ,شمالية,514,1700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,873800
أرض,تجاري وسكني, الرياض , حي اليرموك ,جنوبية,1089,1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1306800
فيلا,سكني, الرياض , حي الوادي ,غربية,375,-,5,3,5+,-,1,1,1,1,0,0,0,0,1,0,2200000
أرض,تجاري, الرياض , حي المونسية ,شرقية,750,4200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3150000
أرض,تجاري, الرياض , حي السلي ,شمالية,2800,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11200000
أرض,تجاري, الرياض , حي النخيل ,ثلاث شوارع,10000,8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80000000
فيلا,سكني, الرياض , حي الملز ,غربية,625,-,7+,5,5+,15,0,1,1,1,1,1,0,0,1,0,4000000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية,270,-,4,3,5+,-,1,1,1,0,1,1,0,0,1,0,2450000
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,750,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375000
أرض,سكني, الرياض , حي العليا ,شمالية شرقية,600,1413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,847800
أرض,تجاري, الرياض , حي النهضة ,شمالية,450,2650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1192500
فيلا,سكني, الرياض , حي النهضة ,غربية,375,-,2,2,3,-,1,1,0,0,0,0,0,0,0,1,2250000
فيلا,سكني, الرياض , حي المونسية ,غربية,300,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3000000
أرض,تجاري وسكني, حريملاء, الرياض ,جنوبية,750,1133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,849750
أرض,سكني, الرياض , حي البيان ,شمالية,57000,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5130000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شرقية,216,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648000
أرض,تجاري وسكني, الرياض , حي النرجس ,شمالية,455,4800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2184000
أرض,تجاري, الرياض , حي الرمال ,جنوبية غربية,4060,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12180000
أرض,تجاري, الرياض , حي القادسية ,شرقية,543,2300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1248900
أرض,تجاري وسكني, الرياض , حي الرمال ,شرقية,450,3500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1575000
أرض,سكني, الرياض , حي الدار البيضاء ,شرقية,1119,1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1790400
فيلا,سكني, الرياض , حي القدس ,جنوبية,500,-,5,2,5+,-,1,0,1,1,0,0,0,0,0,0,2500000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شرقية,484,-,3,-,5+,10,0,1,0,0,0,0,0,0,0,0,1670000
فيلا,سكني, الرياض , حي الشفا ,غربية,218,-,5,1,5+,-,1,1,0,0,0,1,0,0,1,0,750000
فيلا,سكني, الرياض, الرياض ,شرقية,376,-,5,2,3,20,1,1,0,1,0,1,0,0,1,1,2760000
أرض,سكني, الرياض , حي المهدية ,شمالية,456,3400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1550400
فيلا,سكني, الرياض , حي ظهرة البديعة ,شرقية,775,-,6,2,5+,20,1,1,1,1,1,1,0,0,1,0,1700000
فيلا,سكني, الرياض , حي النرجس ,غربية,202,-,4,2,5+,15,1,1,1,0,1,1,0,0,1,1,2100000
أرض,تجاري, الرياض , حي الملك فيصل ,شمالية شرقية,900,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4050000
فيلا,سكني, الرياض , حي العارض ,شمالية,500,-,6,3,5+,-,1,1,1,1,1,1,1,0,1,1,5550000
أرض,سكني, الرياض , حي بدر ,جنوبية غربية,1200,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12000000
فيلا,سكني, الرياض , حي الاندلس ,شمالية,375,-,5,4,4,-,0,1,1,1,1,1,0,0,1,0,1900000
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3484800
أرض,سكني, حريملاء, الرياض ,جنوبية,360,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1800000
أرض,سكني, الرياض, الرياض ,جنوبية,900,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,675000
أرض,سكني, حي الرمال , ,غربية,375,1201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450375
فيلا,سكني, الرياض , حي العارض ,شمالية,300,-,5,3,5+,-,1,0,1,1,0,0,0,0,1,0,2500000
فيلا,سكني, الرياض, الرياض ,جنوبية,300,-,5,2,5+,15,1,1,1,0,1,0,0,0,1,0,1400000
فيلا,سكني, الرياض , حي المونسية ,غربية,284,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1400000
فيلا,سكني, الرياض , حي الملك عبدالعزيز ,جنوبية شرقية,360,-,4,2,5+,-,0,0,1,1,0,1,0,0,0,0,2900000
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,900,1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710000
أرض,تجاري, امارة منطقة الرياض, الرياض ,غربية,750,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1950000
فيلا,سكني, الرياض , حي ظهرة البديعة ,جنوبية,225,-,6,3,5+,20,1,1,1,0,0,1,0,0,1,1,1550000
أرض,سكني, الرياض , حي ظهرة لبن ,شمالية,450,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025000
فيلا,سكني, الرياض , حي المهدية ,غربية,300,-,6,3,5+,20,1,1,1,0,1,1,0,0,1,1,1600000
فيلا,سكني, الرياض , حي اليرموك ,شمالية,312,-,6,2,5+,15,1,1,1,0,1,1,0,0,1,0,2500000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,382,1650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630300
أرض,سكني, حريملاء, القرينه ,جنوبية غربية,630,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630000
أرض,سكني, الرياض , حي عرقة ,جنوبية,412,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1318400
فيلا,سكني, الرياض , حي النرجس ,جنوبية,375,-,6,2,5+,15,1,1,1,1,1,1,1,0,1,1,3650000
فيلا,سكني, الرياض , حي الحزم ,شمالية,252,-,6,3,5+,-,1,1,1,0,0,1,0,0,1,1,1280000
أرض,سكني, حريملاء, الرياض ,شمالية,375,1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,412500
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,750,1450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087500
فيلا,سكني, الرياض , حي القادسية ,غربية,275,-,5,2,5+,-,1,1,1,0,0,1,0,0,1,0,1580000
فيلا,سكني, الرياض , حي نمار ,جنوبية غربية,313,-,5,2,5+,15,1,1,1,0,1,1,0,0,1,0,1550000
أرض,سكني, الرياض , حي المهدية ,جنوبية,450,1822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,819900
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,شرقية,2000,535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1070000
أرض,سكني, الرياض , حي عريض ,جنوبية شرقية,517,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400158
فيلا,سكني, الرياض , حي ظهرة البديعة ,جنوبية,250,-,5,3,5+,20,1,1,1,0,0,1,0,0,1,1,1550000
أرض,سكني, الرياض , حي القيروان ,شمالية,900,422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379800
فيلا,سكني, الرياض , حي الفيحاء ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2000000
أرض,تجاري وسكني, الرياض , حي طويق ,جنوبية,3600,3500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12600000
أرض,تجاري, الرياض , حي العلا ,شمالية,936,459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,429624
أرض,سكني, الرياض , حي المهدية ,شمالية,400,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1200000
أرض,سكني, الرياض , حي البيان ,شمالية,375,714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,267750
أرض,سكني, الرياض , ,شمالية شرقية,644,6987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4499628
أرض,سكني, حريملاء, الرياض ,غربية,750,1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1050000
فيلا,سكني, الرياض , حي النرجس ,شمالية,225,-,7+,3,5+,-,1,0,1,0,0,1,0,0,1,1,3000000
فيلا,سكني, الرياض , حي الرمال ,جنوبية,312,-,5,2,5+,-,1,1,1,0,1,1,0,0,1,0,1800000
فيلا,سكني, الرياض , حي الملك عبد العزيز ,شرقية,350,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3000000
فيلا,سكني, الرياض , حي اليرموك ,جنوبية,250,-,5,2,5+,20,1,1,1,0,0,1,0,0,1,0,2200000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,1050,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945000
أرض,تجاري وسكني, رماح, الرياض ,غربية,630,1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800100
