نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, الرياض , حي الحزم ,غربية,300,-,7+,2,5+,-,1,0,1,0,1,1,0,0,1,0,1200000
فيلا,سكني, الرياض , حي الشفا ,غربية,218,-,5,1,5+,-,1,1,1,0,0,1,0,0,1,0,750000
أرض,سكني, الرياض , حي ظهرة لبن ,جنوبية,1200,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3600000
فيلا,سكني, الرياض , حي النرجس ,غربية,375,-,5,3,5+,-,1,0,1,1,0,0,0,0,0,0,4400000
فيلا,سكني, الرياض , حي السعادة ,غربية,300,-,5,1,3,5,0,1,0,0,0,1,0,0,1,0,1600000
فيلا,سكني, الرياض , حي الرحمانية ,شمالية,300,-,4,2,5+,20,1,1,1,1,0,1,0,0,1,1,4500000
فيلا,سكني, الرياض , حي بدر ,شرقية,527,-,7+,3,5+,15,1,1,1,0,1,1,0,0,1,1,1680000
أرض,سكني, الرياض , حي المهدية ,جنوبية,2000,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1050000
فيلا,سكني, الرياض , حي الرمال ,جنوبية,292,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1850000
أرض,تجاري وسكني, الرياض , حي العارض ,شمالية,630,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2835000
فيلا,سكني, الرياض , حي ظهرة لبن ,جنوبية,450,-,7+,3,5+,-,1,1,1,1,1,1,0,0,1,0,2000000
فيلا,سكني, الرياض , حي السلام ,غربية,500,-,7+,-,5+,15,0,1,1,1,1,1,0,0,1,0,1800000
فيلا,سكني, الرياض , حي المونسية ,شمالية,310,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2350000
أرض,سكني, حريملاء, الرياض ,شرقية,375,1455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,545625
أرض,سكني, الرياض , حي المهدية ,غربية,399,5850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2334150
فيلا,سكني, الرياض , حي القادسية ,جنوبية شرقية,337,-,1,1,5+,-,1,1,1,0,0,0,0,0,1,1,1950000
فيلا,سكني, الرياض , حي النسيم الغربي ,غربية,500,-,7+,2,2,10,0,1,0,0,0,0,0,0,1,0,1250000
أرض,سكني, الدرعية, العيينة ,شمالية,750,3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2400000
أرض,تجاري وسكني, الرياض , حي طويق ,شرقية,870,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2262000
أرض,سكني, الرياض , حي المهدية ,شمالية,300,3400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1020000
فيلا,سكني, الرياض , حي المونسية ,شمالية,270,-,4,3,4,-,1,1,1,1,1,1,0,0,1,0,1950000
